taxon_name_Stace,kew_id,C_num,S_num,R_num,predicted_CSR
Abies alba,60468511-2,8.96,91.04,0,S
Acacia melanoxylon,470873-1,29.81,51.28,18.91,S/CSR
Acer campestre,781250-1,33.98,51.22,14.8,CS/CSR
Acer negundo,781412-1,44.37,33.75,21.88,CS/CSR
Acer platanoides,781455-1,44.02,39.7,16.28,CS/CSR
Acer pseudoplatanus,781462-1,47.33,40.43,12.25,CS/CSR
Achillea maritima,77067622-1,23.85,0,76.15,R/CR
Achillea millefolium,2294-2,29.27,45.44,25.29,S/CSR
Achillea ptarmica,2336-2,12.81,0,87.19,R
Aconitum napellus,707615-1,58.87,8.93,32.2,C/CR
Acorus calamus,84009-1,45,20.32,34.68,CR/CSR
Actaea spicata,303913-2,61.48,9.06,29.46,C/CR
Adoxa moschatellina,148240-1,39.11,0,60.89,CR
Aegopodium podagraria,5849-2,59.48,16.12,24.41,C/CSR
Aesculus hippocastanum,781594-1,50.59,38.77,10.65,CS
Aethusa cynapium,837341-1,49.08,8.21,42.7,CR
Agrimonia eupatoria,316550-2,44.46,39.57,15.97,CS/CSR
Agrimonia procera,720304-1,54.62,29.42,15.96,C/CSR
Agrostemma githago,150316-1,36.43,48.08,15.49,CS/CSR
Agrostis canina,385537-1,2.94,48.14,48.92,SR
Agrostis capillaris,30197865-2,9.24,44.36,46.4,SR
Agrostis curtisii,385626-1,1.27,64.56,34.16,S/SR
Agrostis gigantea,385783-1,12.51,44.32,43.17,SR/CSR
Agrostis stolonifera,386353-1,9,49.67,41.33,SR
Agrostis vinealis,386503-1,8.68,69.42,21.9,S/SR
Ailanthus altissima,813521-1,60.53,12.92,26.55,C/CSR
Aira caryophyllea,386633-1,0,57.3,42.7,SR
Aira praecox,386818-1,0,57.1,42.9,SR
Ajuga chamaepitys,444546-1,8.25,0,91.75,R
Ajuga pyramidalis,444657-1,35.87,19.13,45,CR/CSR
Ajuga reptans,444664-1,37.78,4.1,58.12,CR
Alcea rosea,558713-1,72.39,14.43,13.18,C/CS
Alchemilla alpina,720359-1,14.71,69.22,16.07,S/SR
Alchemilla filicaulis,8074-2,27.26,45.78,26.96,S/CSR
Alchemilla glabra,720597-1,28.8,37.24,33.96,CSR
Alchemilla glaucescens,720605-1,33.92,41.4,24.68,CS/CSR
Alchemilla mollis,720776-1,60.01,24.15,15.84,C/CSR
Alchemilla monticola,20011043-1,45.08,29.96,24.97,C/CSR
Alchemilla subcrenata,721160-1,41.79,26.34,31.87,CSR
Alchemilla xanthochlora,721091-1,53.18,25.97,20.85,C/CSR
Alisma lanceolatum,1047073-2,43.96,0,56.04,CR
Alisma plantago-aquatica,30019518-2,69.64,0,30.36,C/CR
Alliaria petiolata,1176324-2,52.14,0,47.86,CR
Allium carinatum,527777-1,40.06,0,59.94,CR
Allium oleraceum,528525-1,77.94,0,22.06,C/CR
Allium paradoxum,528578-1,44.43,0,55.57,CR
Allium schoenoprasum,528823-1,10.04,89.96,0,S
Allium scorodoprasum,528834-1,11.04,88.96,0,S
Allium sphaerocephalon,528894-1,46.68,53.32,0,CS
Allium ursinum,529088-1,54.01,0,45.99,CR
Allium vineale,529111-1,46.46,4.56,48.99,CR
Alnus glutinosa,30036759-2,38.11,45.16,16.73,CS/CSR
Alnus incana,30106706-2,42.22,30.51,27.27,CSR
Alopecurus aequalis,387005-1,21.74,9.9,68.36,R/CR
Alopecurus geniculatus,387091-1,12.58,30.3,57.11,R/CSR
Alopecurus myosuroides,387143-1,16.79,41.89,41.32,SR/CSR
Alopecurus pratensis,387176-1,27.31,42.62,30.07,CSR
Althaea officinalis,558872-1,47.94,18.87,33.19,CR/CSR
Alyssum alyssoides,277314-1,0.34,38.5,61.16,SR
Amaranthus blitum,10619-2,16.88,0,83.12,R/CR
Amaranthus caudatus,316347-2,61.15,6.77,32.08,C/CR
Amaranthus retroflexus,10698-2,51.92,24.36,23.71,C/CSR
